ytid_V,Comments,Emotion,Extra_emotion,aspect_version,caption_version,shorth_aspect,short_caption,Instrumental,aspect_list,caption
-0Gj8-vB1q4_1,Not low quality. No strings,Sad,,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful."
-0Gj8-vB1q4_2,Not low quality. No strings,Sad,,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful."
-0Gj8-vB1q4_3,No strings,Sad,,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful."
-0Gj8-vB1q4_4,No strings. Not clearly a female voice,Sad,,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful."
-1UWSisR2zo_1,Not poor audio quality. No ambient noises,Exciting,Energetic,TRUE,FALSE,TRUE,TRUE,FALSE,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track"
-1UWSisR2zo_2,Not poor audio quality. No ambient noises,Exciting,Energetic,TRUE,FALSE,TRUE,TRUE,FALSE,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track"
-1UWSisR2zo_3,Not clearly a male singer,Exciting,Energetic,FALSE,TRUE,TRUE,TRUE,FALSE,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track"
-1UWSisR2zo_4,Not clearly a male singer,Exciting,Energetic,FALSE,TRUE,TRUE,TRUE,FALSE,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track"
-5xOcMJpTUk_1,,Sad,Calm,TRUE,FALSE,TRUE,TRUE,FALSE,"guitarist, male talking, twang sounds, mediocre audio quality, guitar string tones, guitar technique, fretboard sounds, guitar demo, online guitar lessons, home music video, youtube tutorial,","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds,"
-5xOcMJpTUk_2,Not clearly a male voice,Sad,Calm,TRUE,FALSE,TRUE,TRUE,FALSE,"guitarist, male talking, twang sounds, mediocre audio quality, guitar string tones, guitar technique, fretboard sounds, guitar demo, online guitar lessons, home music video, youtube tutorial,","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds,"
-5xOcMJpTUk_3,Not clearly a male voice,Exciting,Energetic,FALSE,TRUE,TRUE,TRUE,FALSE,"guitarist, male talking, twang sounds, mediocre audio quality, guitar string tones, guitar technique, fretboard sounds, guitar demo, online guitar lessons, home music video, youtube tutorial,","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds,"
-5xOcMJpTUk_4,,Exciting,Energetic,FALSE,TRUE,TRUE,TRUE,FALSE,"guitarist, male talking, twang sounds, mediocre audio quality, guitar string tones, guitar technique, fretboard sounds, guitar demo, online guitar lessons, home music video, youtube tutorial,","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds,"
-88me9bBzrk_1,"Good indian ""vibe"" particularly v3 and 4. But it is still very far from classical indian and probably closer to pop.",Content,,TRUE,FALSE,FALSE,FALSE,FALSE,"hindi, tablas, shrutibox, bansuri flute, medium tempo",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-88me9bBzrk_2,"Good indian ""vibe"" particularly v3 and 4. But it is still very far from classical indian and probably closer to pop.",Content,,TRUE,FALSE,FALSE,FALSE,FALSE,"hindi, tablas, shrutibox, bansuri flute, medium tempo",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-88me9bBzrk_3,"Good indian ""vibe"" particularly v3 and 4. But it is still very far from classical indian and probably closer to pop.",Content,,FALSE,TRUE,FALSE,FALSE,FALSE,"hindi, tablas, shrutibox, bansuri flute, medium tempo",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-88me9bBzrk_4,"Good indian ""vibe"" particularly v3 and 4. But it is still very far from classical indian and probably closer to pop.",Content,Epic,FALSE,TRUE,FALSE,FALSE,FALSE,"hindi, tablas, shrutibox, bansuri flute, medium tempo",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.
-ByoSbgzr4M_1,"Does not follow ""instrumental"" text command.",Exciting,Energetic,TRUE,FALSE,FALSE,TRUE,FALSE,"instrumental, electric guitar, stringed instrument, vibrato, sonic power, amplified guitar, fast tempo, rapid, vigorous, dexterous, skilled, practice, intense, rock, hard rock, home recording","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous"
-ByoSbgzr4M_2,"Does not follow ""instrumental"" text command.",Exciting,Energetic,TRUE,FALSE,FALSE,TRUE,FALSE,"instrumental, electric guitar, stringed instrument, vibrato, sonic power, amplified guitar, fast tempo, rapid, vigorous, dexterous, skilled, practice, intense, rock, hard rock, home recording","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous"
-ByoSbgzr4M_3,"Does not follow ""instrumental"" text command.",Exciting,Energetic,FALSE,TRUE,FALSE,TRUE,FALSE,"instrumental, electric guitar, stringed instrument, vibrato, sonic power, amplified guitar, fast tempo, rapid, vigorous, dexterous, skilled, practice, intense, rock, hard rock, home recording","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous"
-ByoSbgzr4M_4,"Does not follow ""instrumental"" text command.",Exciting,Energetic,FALSE,TRUE,FALSE,TRUE,FALSE,"instrumental, electric guitar, stringed instrument, vibrato, sonic power, amplified guitar, fast tempo, rapid, vigorous, dexterous, skilled, practice, intense, rock, hard rock, home recording","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous"
-FFx68qSAuY_1,,Exciting,"Energetic, epic",TRUE,FALSE,FALSE,TRUE,FALSE,"punk rock, gothic rock, male vocals, grunt-like singing, electric guitar, bass guitar, acoustic guitar, hard-hitting, aggressive",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. 
-FFx68qSAuY_2,,Exciting,"Agressive, epic",TRUE,FALSE,FALSE,TRUE,FALSE,"punk rock, gothic rock, male vocals, grunt-like singing, electric guitar, bass guitar, acoustic guitar, hard-hitting, aggressive",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. 
-FFx68qSAuY_3,,Exciting,Energetic,FALSE,TRUE,FALSE,TRUE,FALSE,"punk rock, gothic rock, male vocals, grunt-like singing, electric guitar, bass guitar, acoustic guitar, hard-hitting, aggressive",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. 
-FFx68qSAuY_4,,Exciting,Energetic,FALSE,TRUE,FALSE,TRUE,FALSE,"punk rock, gothic rock, male vocals, grunt-like singing, electric guitar, bass guitar, acoustic guitar, hard-hitting, aggressive",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. 
-M-6VinyMiY_1,Not low quality,Exciting,Epic,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, rock, flat male vocal, groovy bass guitar, sustained electric guitar melody, arpeggiated electric guitar melody, snappy rimshot, soft kick, shimmering hi hats, easygoing, emotional","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, "
-M-6VinyMiY_2,Not low quality,Sad,Exciting,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, rock, flat male vocal, groovy bass guitar, sustained electric guitar melody, arpeggiated electric guitar melody, snappy rimshot, soft kick, shimmering hi hats, easygoing, emotional","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, "
-M-6VinyMiY_3,Not low quality,Exciting,Energetic,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, rock, flat male vocal, groovy bass guitar, sustained electric guitar melody, arpeggiated electric guitar melody, snappy rimshot, soft kick, shimmering hi hats, easygoing, emotional","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, "
-M-6VinyMiY_4,Not low quality,Sad,Energetic,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, rock, flat male vocal, groovy bass guitar, sustained electric guitar melody, arpeggiated electric guitar melody, snappy rimshot, soft kick, shimmering hi hats, easygoing, emotional","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, "
-Q9MTRXS4bE_1,"Does not follow ""instrumental"" text command.",Happy,,TRUE,FALSE,TRUE,TRUE,FALSE,"instrumental, fast tempo, happy, perky, punchy, background sounds super imposed by music, digital pads, lively, synthesised violins, upbeat, synthesiser arrangements, lively piano harmony,","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. "
-Q9MTRXS4bE_2,"Does not follow ""instrumental"" text command.",Happy,,TRUE,FALSE,TRUE,TRUE,FALSE,"instrumental, fast tempo, happy, perky, punchy, background sounds super imposed by music, digital pads, lively, synthesised violins, upbeat, synthesiser arrangements, lively piano harmony,","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. "
-Q9MTRXS4bE_3,"Does not follow ""instrumental"" text command.",Surprise,,FALSE,TRUE,TRUE,TRUE,FALSE,"instrumental, fast tempo, happy, perky, punchy, background sounds super imposed by music, digital pads, lively, synthesised violins, upbeat, synthesiser arrangements, lively piano harmony,","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. "
-Q9MTRXS4bE_4,"Does not follow ""instrumental"" text command.",Surprise,Exciting,FALSE,TRUE,TRUE,TRUE,FALSE,"instrumental, fast tempo, happy, perky, punchy, background sounds super imposed by music, digital pads, lively, synthesised violins, upbeat, synthesiser arrangements, lively piano harmony,","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. "
-T4GeTHKtJQ_1,,Exciting,,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, rock, punchy kick, punchy kick, wide electric guitar melodies, distorted bass guitar, energetic crash cymbal, shimmering hi hats, harmonizing male vocals, energetic, compilation","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats "
-T4GeTHKtJQ_2,,Exciting,Energetic,TRUE,FALSE,FALSE,TRUE,FALSE,"low quality, rock, punchy kick, punchy kick, wide electric guitar melodies, distorted bass guitar, energetic crash cymbal, shimmering hi hats, harmonizing male vocals, energetic, compilation","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats "
-T4GeTHKtJQ_3,,Exciting,Energetic,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, rock, punchy kick, punchy kick, wide electric guitar melodies, distorted bass guitar, energetic crash cymbal, shimmering hi hats, harmonizing male vocals, energetic, compilation","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats "
-T4GeTHKtJQ_4,,Exciting,Energetic,FALSE,TRUE,FALSE,TRUE,FALSE,"low quality, rock, punchy kick, punchy kick, wide electric guitar melodies, distorted bass guitar, energetic crash cymbal, shimmering hi hats, harmonizing male vocals, energetic, compilation","The low quality recording features a compilation of rock songs and it consists of punchy kicks, wide electric guitar melodies, distorted bass guitar, energetic crash cymbals, shimmering hi hats "
